drug_id,name,pubchem_id,drugbank_id,kegg_id,note
"PA166182883","ospemifene","3036505","DB04938","D08958",""
"PA450732","oxcarbazepine","34312","DB00776","D00533",""
"PA450741","oxycodone","5284603","DB00497","D00847",""
"PA166182885","oxymetazoline and tetracaine","","","D11554","PubChem not found; DrugBank not found"
"PA166153469","palbociclib","5330286","DB09073","D10372",""
"PA163518919","paliperidone","115237","DB01267","D05339",""
"PA10352","palonosetron","6337614","DB00377","D05343",""
"PA162373091","panitumumab","","","D05350","PubChem not found; DrugBank not found"
"PA450774","pantoprazole","4679","DB00213","D02593",""
"PA166184497","Paracetamol, combinations excl. Psycholeptics (Vicks MediNait Sirup)","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA164713150","Parathyroid Hormones And Analogues","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA450801","paroxetine","43815","DB00715","D02260",""
"PA165291492","pazopanib","10113978","DB06589","D05380",""
"PA164784024","peginterferon alfa-2b","","","D02748","PubChem not found; DrugBank not found"
"PA165963961","pegloticase","","","D09316","PubChem not found; DrugBank not found"
"PA166124615","pembrolizumab","","","D10574","PubChem not found; DrugBank not found"
"PA450877","perindopril","107807","DB00790","D00624",""
"PA450882","perphenazine","4748","DB00850","D00503",""
"PA165290933","pertuzumab","","","D05446","PubChem not found; DrugBank not found"
"PA450947","phenytoin","1775","DB00252","D00375",""
"PA450965","pimozide","16362","DB01100","D00560",""
"PA450970","pioglitazone","4829","DB01132","D00945",""
"PA450985","piroxicam","54676228","DB00554","D00127",""
"PA142650384","pitavastatin","5282452","DB08860","D01862",""
"PA166185163","pitolisant","9948102","DB11642","D10749",""
"PA165980594","ponatinib","24826799","DB08901","D09950",""
"PA151958574","posaconazole","468595","DB01263","D02555",""
"PA154410481","prasugrel","6918456","DB06209","D05597",""
"PA451089","pravastatin","54687","DB00175","D00893",""
"PA451101","prilocaine","4906","DB00750","D00553",""
"PA451103","primaquine","4908","DB01087","D02126",""
"PA451106","probenecid","4911","DB01032","D00475",""
"PA451108","procainamide","4913","DB01035","D00477",""
"PA451131","propafenone","4932","DB01182","D00640",""
"PA451145","propranolol","4946","DB00571","D00483",""
"PA451168","protriptyline","4976","DB00344","D00484",""
"PA451209","quinidine","441074","DB00908","D00642",""
"PA451213","quinine","3034034","DB00468","D01663",""
"PA451216","rabeprazole","5029","DB01129","D00724",""
"PA451221","raloxifene","5035","DB00481","D02217",""
"PA164888966","raltegravir","54671008","DB06817","D06676",""
"PA166184558","ramucirumab","","","D09371","PubChem not found; DrugBank not found"
"PA164746007","ranolazine","56959","DB00243","D05700",""
"PA10176","rasburicase","","","D05704","PubChem not found; DrugBank not found"
"PA166114943","regorafenib","11167602","DB08896","D10137",""
"PA166153470","ribociclib","44631912","DB11730","D10883",""
"PA451257","risperidone","5073","DB00734","D00426",""
"PA451260","ritonavir","392622","DB00503","D00427",""
"PA451261","rituximab","","","D02994","PubChem not found; DrugBank not found"
"PA165958360","rivaroxaban","9875401","DB06228","D07086",""
"PA451271","ropivacaine","175805","DB00296","D04048",""
"PA134308647","rosuvastatin","446157","DB01098","D01915",""
"PA166163418","rucaparib","9931954","DB12332","D10079",""
"PA166123386","ruxolitinib","25126798","DB08877","D09959",""
"PA164784002","sertindole","60149","DB06144","D00561",""
"PA451341","sevoflurane","5206","DB01236","D00547",""
"PA451346","sildenafil","135398744","DB00203","D02229",""
"PA166122590","simeprevir","24873435","","D10081","DrugBank not found"
"PA451363","simvastatin","54454","DB00641","D00434",""
"PA166182736","siponimod","44599207","DB12371","D11072",""
"PA451365","sirolimus","5284616","DB00877","D00753",""
"PA166176020","sodium benzoate / sodium phenylacetate","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA166115361","sodium nitrite","","","D05865","PubChem not found; DrugBank not found"
"PA166114316","sodium phenylbutyrate","","","D05868","PubChem not found; DrugBank not found"
